label,text
ham,Hey how are you doing?
ham,I will call you later okay?
ham,Are you coming to class tomorrow?
ham,Let’s go for lunch today.
ham,I reached home safely.
ham,Good morning have a nice day.
ham,Where are you right now?
ham,See you soon buddy.
ham,I am studying for exam.
ham,Can you send me the notes please?

spam,Congratulations! You won a free gift voucher. Click http://bit.ly/prize
spam,You have won $1000 cash! Claim now.
spam,Free entry in 2 a weekly competition to win prizes!
spam,URGENT! Call this number now to claim your reward.
spam,Get cheap loans instantly apply online.
spam,You have been selected for a lucky draw. Visit www.offer.com
spam,Win cash prizes every day. Hurry!
spam,Free ringtone! Text WIN to 8008.
spam,Get free recharge worth Rs.100 click here.
spam,You are chosen for free coupons click http://spamlink.com

spam,You have won 5 lakh rupees! Call now to claim.
spam,Congratulations! You will receive 2 lakhs cashback offer soon.
spam,Win a bonus of Rs.5000 on recharge.
spam,You are selected for a lucky draw worth 1 lakh rupees.
spam,Claim your reward of 50 lakhs now!
